version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
2.0.0,2016-09-14,1473896950,0,0,12,17,0,0,42,210,0,0,2,10
2.0.1,2016-09-23,1474655316,0,0,12,17,0,0,42,210,0,0,2,10
2.0.2,2016-10-05,1475709904,0,0,17,18,0,0,23,104,0,0,21,97
2.1.0,2016-10-12,1476303571,0,0,29,30,0,0,21,95,0,0,49,237
2.1.1,2016-10-20,1477002962,0,0,28,21,0,0,17,81,0,0,55,275
2.1.2,2016-10-27,1477592893,0,0,43,50,0,0,11,51,0,0,44,220
2.2.0,2016-11-14,1479151563,0,0,55,62,0,0,6,30,0,0,36,180
2.2.1,2016-11-16,1479343108,0,0,66,65,0,0,23,62,0,0,6,30
2.2.2,2016-11-22,1479854209,0,0,59,72,0,0,36,143,0,0,4,20
2.2.3,2016-11-23,1479934837,0,0,59,60,0,0,37,144,0,0,3,15
2.2.4,2016-11-30,1480547918,0,0,59,60,0,0,37,144,0,0,3,15
2.3.0,2016-12-07,1481147662,0,0,59,60,0,0,37,144,0,0,3,15
2.3.1,2016-12-14,1481768523,0,0,56,149,0,0,17,69,0,0,26,130
2.4.0,2016-12-19,1482198137,0,0,50,99,0,0,21,74,0,0,27,135
2.4.1,2016-12-21,1482359173,0,0,48,49,0,0,24,85,0,0,26,130
2.4.10,2017-03-16,1489717618,0,0,47,52,0,0,24,85,0,0,27,135
2.4.2,2017-01-06,1483735235,0,0,43,64,0,0,36,179,0,0,20,100
2.4.3,2017-01-11,1484170703,0,0,49,69,0,0,38,181,0,0,12,60
2.4.4,2017-01-18,1484786154,0,0,49,69,0,0,38,181,0,0,12,60
2.4.5,2017-01-25,1485380909,0,0,49,69,0,0,38,181,0,0,12,60
2.4.6,2017-02-02,1486094657,0,0,49,69,0,0,38,181,0,0,12,60
2.4.7,2017-02-08,1486614491,0,0,49,69,0,0,38,181,0,0,12,60
2.4.8,2017-02-18,1487454923,0,0,49,69,0,0,38,181,0,0,12,60
2.4.9,2017-03-01,1488438686,0,0,49,71,0,0,38,181,0,0,12,60
4.0.0,2017-03-23,1490312934,0,0,49,71,0,0,38,181,0,0,12,60
4.0.1,2017-03-29,1490830060,0,0,62,76,0,0,23,90,0,0,11,55
4.0.2,2017-04-11,1491947773,0,0,98,101,0,0,2,6,0,0,0,0
4.0.3,2017-04-20,1492749701,0,0,97,104,0,0,3,11,0,0,0,0
4.1.0,2017-04-26,1493221962,0,0,96,103,0,0,3,11,0,0,1,5
4.1.1,2017-05-04,1493932963,0,2,81,94,0,0,14,38,0,0,3,15
4.1.2,2017-05-10,1494456268,0,2,67,84,0,0,27,95,0,0,4,20
4.1.3,2017-05-17,1495061065,0,2,59,75,0,0,35,135,0,0,4,20
4.2.0,2017-06-08,1496960017,0,2,59,75,0,0,35,135,0,0,4,20
4.2.1,2017-06-09,1497049889,0,12,41,111,0,0,16,77,0,0,26,130
4.2.2,2017-06-12,1497306979,0,12,42,112,0,0,19,92,0,0,22,110
4.2.3,2017-06-16,1497631311,0,12,42,112,0,0,19,92,0,0,22,110
4.2.4,2017-06-21,1498089674,0,12,44,106,0,0,19,88,0,0,20,100
4.2.5,2017-06-29,1498781820,0,13,46,113,0,0,20,93,0,0,16,80
4.2.6,2017-07-07,1499489329,0,13,48,115,0,0,24,113,0,0,10,50
4.3.0,2017-07-14,1500063157,0,13,42,109,0,0,29,134,0,0,11,55
4.3.1,2017-07-19,1500494085,0,13,35,105,0,0,32,96,0,0,20,100
4.3.2,2017-07-27,1501188706,0,8,34,79,0,0,38,122,0,0,20,100
4.3.3,2017-08-02,1501704035,0,1,40,50,0,0,39,123,0,0,20,100
4.3.4,2017-08-10,1502383201,0,1,40,50,0,0,39,123,0,0,20,100
4.3.5,2017-08-16,1502905883,0,0,42,51,0,0,41,121,0,0,17,85
4.3.6,2017-08-23,1503518502,0,0,44,53,0,0,39,111,0,0,17,85
4.4.0,2017-09-15,1505512712,0,0,47,56,0,0,39,107,0,0,14,70
4.4.1,2017-09-15,1505514925,0,0,51,64,0,0,37,105,0,0,12,60
4.4.2,2017-09-18,1505794443,0,0,51,64,0,0,37,105,0,0,12,60
4.4.3,2017-09-19,1505859725,0,0,51,64,0,0,37,105,0,0,12,60
4.4.4,2017-09-28,1506626294,0,0,52,65,0,0,36,96,0,0,12,60
4.4.5,2017-10-12,1507829181,0,0,53,70,0,0,36,92,0,0,11,70
4.4.6,2017-10-18,1508368493,0,0,62,75,0,0,28,96,0,0,10,65
5.0.0,2017-11-01,1509558628,0,0,64,76,0,0,28,84,0,0,8,52
5.0.1,2017-11-08,1510165786,0,0,51,60,0,0,44,209,0,0,1,5
5.0.2,2017-11-16,1510860242,0,0,47,52,0,0,49,202,0,0,1,5
5.0.3,2017-11-22,1511384952,0,0,41,47,0,0,54,203,0,0,2,10
5.0.4,2017-11-30,1512105238,0,0,35,42,0,0,60,233,0,0,2,10
5.0.5,2017-12-01,1512168005,0,0,36,46,0,0,59,228,0,0,2,10
5.1.0,2017-12-06,1512591424,0,0,36,46,0,0,59,228,0,0,2,10
5.1.1,2017-12-13,1513193161,0,0,36,31,0,0,63,239,0,0,1,5
5.1.2,2017-12-20,1513803050,0,0,1,1,0,0,99,495,0,0,0,0
4.4.7,2018-04-16,1523865631,0,0,2,1,0,0,97,481,0,0,1,5
5.1.3,2018-01-03,1515023697,0,1,8,11,0,0,89,433,0,0,2,10
5.2.0,2018-01-09,1515546017,0,1,8,11,0,0,88,424,0,0,2,10
5.2.1,2018-01-17,1516210786,0,0,97,883,0,0,1,2,0,0,2,2
8.2.1,2019-08-08,1565296978,0,0,81,673,0,0,16,37,0,0,3,7
8.2.10,2019-10-09,1570654551,0,0,18,14,0,1,69,138,0,0,7,24
8.2.11,2019-10-15,1571177708,0,0,17,9,0,1,72,154,0,0,5,14
8.2.12,2019-10-23,1571868008,0,0,19,9,0,1,72,154,0,0,5,14
8.2.13,2019-10-30,1572469386,0,0,19,9,0,1,72,158,0,0,6,19
8.2.14,2019-11-13,1573676499,0,0,19,9,0,1,72,158,0,0,6,19
8.2.2,2019-08-12,1565641170,0,0,19,9,0,1,72,158,0,0,6,19
8.2.3,2019-08-21,1566419300,0,0,19,9,0,1,72,158,0,0,6,19
8.2.4,2019-08-28,1567015234,0,0,19,9,0,1,72,158,0,0,6,19
8.2.5,2019-09-04,1567634258,0,0,19,9,0,1,72,158,0,0,6,19
8.2.6,2019-09-11,1568230899,0,0,19,9,0,1,72,158,0,0,6,19
8.2.7,2019-09-18,1568826117,0,0,19,9,0,1,72,158,0,0,6,19
8.2.8,2019-09-25,1569431313,0,0,19,9,0,1,72,158,0,0,6,19
8.2.9,2019-10-02,1570040113,0,0,19,9,0,1,72,158,0,0,6,19
10.0.0,2020-06-24,1593024417,0,0,19,9,0,1,72,158,0,0,6,19
10.0.1,2020-06-26,1593202656,0,0,31,39,0,2,52,182,0,0,11,46
