version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v3.4.0-alpha.3,2023-11-28,1701131161,0,0,94,1018,0,1,3,20,0,0,0,0
v3.4.0-alpha.4,2023-12-04,1701703483,0,0,94,1018,0,1,3,20,0,0,0,0
v3.4.0-beta.1,2023-12-13,1702464736,0,0,94,1014,0,1,3,20,0,0,0,0
v3.4.0-beta.2,2023-12-14,1702520914,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.0-beta.3,2023-12-16,1702708889,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.0-beta.4,2023-12-19,1702981437,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.0-rc.1,2023-12-25,1703493732,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.0-rc.2,2023-12-26,1703577173,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.0-rc.3,2023-12-27,1703643344,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.1,2023-12-30,1703898168,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.2,2023-12-30,1703936495,0,0,94,1004,0,1,3,20,0,0,0,0
v3.4.3,2023-12-30,1703943263,0,0,91,959,0,1,3,20,0,0,3,15
v3.4.10,2024-01-11,1704985460,0,0,91,959,0,1,3,20,0,0,3,15
v3.4.11,2024-01-12,1705068916,0,0,90,944,0,1,4,25,0,0,3,15
v3.4.12,2024-01-13,1705113689,0,0,90,944,0,1,4,25,0,0,3,15
v3.4.13,2024-01-13,1705133025,0,0,90,944,0,1,4,25,0,0,3,15
v3.4.14,2024-01-15,1705333272,0,0,90,944,0,1,4,25,0,0,3,15
v3.4.15,2024-01-18,1705584874,0,0,90,944,0,1,4,25,0,0,3,15
v3.4.16,2024-02-08,1707363934,0,0,90,940,0,1,4,25,0,0,3,15
v3.4.17,2024-02-09,1707439099,0,0,90,940,0,1,4,25,0,0,3,15
v3.4.18,2024-02-09,1707445889,0,0,90,940,0,1,4,25,0,0,3,15
v3.4.19,2024-02-13,1707818902,0,0,90,940,0,1,4,25,0,0,3,15
v3.4.20,2024-02-26,1708913233,0,0,90,940,0,1,4,25,0,0,3,15
v3.4.21,2024-02-28,1709118735,0,0,90,940,0,1,4,25,0,0,3,15
v3.4.22,2024-04-15,1713196776,0,0,90,940,0,1,4,25,0,0,3,15
v3.4.23,2024-04-16,1713279356,0,0,91,945,0,1,4,25,0,0,3,15
v3.4.24,2024-04-22,1713799798,0,0,91,945,0,1,4,25,0,0,3,15
v3.4.25,2024-04-24,1713955072,0,0,91,945,0,1,4,25,0,0,3,15
v3.4.26,2024-04-29,1714379814,0,0,91,945,0,1,4,25,0,0,3,15
v3.4.27,2024-05-06,1715039988,0,0,92,974,0,1,4,25,0,0,3,15
v3.4.28,2024-06-14,1718357416,0,0,92,978,0,1,4,25,0,0,3,15
v3.4.29,2024-06-14,1718380956,0,0,93,983,0,1,3,20,0,0,3,15
v3.4.4,2024-01-03,1704278428,0,0,93,983,0,1,3,20,0,0,3,15
v3.4.5,2024-01-04,1704360084,0,0,92,916,0,1,4,25,0,0,3,15
v3.4.6,2024-01-08,1704726114,0,0,92,916,0,1,4,25,0,0,3,15
v3.4.7,2024-01-09,1704795303,0,0,91,891,0,2,4,30,0,0,3,15
v3.4.8,2024-01-11,1704906231,0,0,91,891,0,2,4,30,0,0,3,15
v3.4.9,2024-01-11,1704970145,0,0,91,891,0,2,4,30,0,0,3,15
v3.5.0-alpha.1,2024-04-29,1714358993,0,0,90,876,0,2,5,35,0,0,3,15
v3.5.0-alpha.2,2024-05-03,1714780993,0,0,87,773,0,5,5,50,0,0,3,15
